"Unnamed: 0","annotation_id","annotator","comm_aesthetic","correctness","country_patriotism","created_at","danger_decline","dict_lit","emo_som","error_mention","facts","full_text","id","language","lead_time","ling_element","offensive","other","personal_quality","questions","sarcasm","sentiment","target","threats","updated_at","visual_mocking","word_jokes"
16,589,"1","","","","2025-09-10T14:35:40.908952Z","","","","","","A teraz #polszczyzna kulturalna i wykwintna, choć może nie całkiem. Jak się Państwo (@użytkownik) zapatrują na słowo HISTORYCZNOSZTUCZNY, czyli dotyczący historii sztuki?",5113,"yes",59.749,"WORD","","","","QSUR","SARC","NEU","{""choices"":[""DIRECT"",""MENTION""]}","","2025-09-10T14:35:40.909014Z","",""
17,590,"1","","","PATR","2025-09-10T14:37:06.219252Z","DCLN","","","","","Ile razy jeszcze z mównicy sejmowej padnie dzisiaj ""półtorej roku""? To jest naprawdę dramat, że tacy ćwierćinteligenci rządzą naszym krajem. #polszczyzna #Sejm",5114,"yes",89.375,"WORD","OFF","","QUAL","","","NEG","MENTION","CONS","2025-09-11T09:02:00.847416Z","",""
18,591,"1","","","PATR","2025-09-10T14:38:52.593928Z","","","","","","Mili Państwo, słońce wzeszło, krakowianie wyjdą na dwór, Polska jest, dla jednych mimo wszystko, dla innych zgodnie z oczekiwaniami, ale #polszczyzna sama się bez podmiotów mówiących nie objaśni. Co to jest SZUFLADOWIEC? Pono jakiś mebel. Zdjęcia mile widziane.",5115,"yes",103.765,"WORD","","","","QSUR","","NEU","{""choices"":[""DIRECT"",""MENTION""]}","","2025-09-10T14:38:52.593957Z","",""
19,592,"1","","","PATR","2025-09-10T14:40:45.278179Z","","","","","","Dzień dobry : słońce z twarzą  :Dawno nie było wpisu nt. #polszczyzna, zatem: Uprzejmie informuję osoby używające konstrukcji „czym …, tym …”, że to rusycyzm. Bardziej po polsku jest „im …, tym …”. Myślę, że im mniej (nie: czym mniej) rusycyzmów w naszym życiu, tym lepiej. Oczywiście niech",5116,"yes",110.475,"WORD","","","QUAL","","","NEG","NO","","2025-09-10T14:40:45.278209Z","",""
20,593,"1","","","","2025-09-10T14:41:11.736136Z","","","","","","Mili Państwo, a zwłaszcza Pomorskie Nauczycielstwo — jak Państwo wymawiają skrótową nazwę Pomorskiego Centrum Edukacji Nauczycieli w Gdańsku (PCEN)? @użytkownik @użytkownik @użytkownik #polszczyzna",5117,"yes",23.403,"WORD","","","","QSUR","","NEU","{""choices"":[""DIRECT"",""MENTION""]}","","2025-09-10T14:41:11.736166Z","",""
21,594,"1","","COR","","2025-09-10T14:42:20.543356Z","","","","","","Tak na marginesie: Jak pokazała wczorajsza rozmowa kwalifikacyjna u Mentzena, Nawrocki nadal nie nauczył się, że ""oboje"" mówi się o osobach odmiennej płci. W wypadku dwóch osobników płci męskiej poprawną formą jest ""obaj"" lub ""obydwaj"". #polszczyzna",5118,"yes",71.714,"WORD","","","QUAL","","","NEG","MENTION","CONS","2025-09-11T09:01:48.376616Z","",""
22,595,"1","","","","2025-09-10T14:42:55.175467Z","","","","","","Mili Państwo, co jest lepsze i wygodniejsze? #polszczyzna",5119,"no",29.075,"","","","","","","","","","2025-09-10T14:42:55.175494Z","",""
23,596,"1","","","","2025-09-10T14:43:49.092784Z","","","","","","Kandydat Karol Nawrocki apelował do Sławomira Mentzena: OBOJE przecież chcemy... Płynne tożsamości? #polszczyzna",5120,"yes",53.997,"WORD","","","QUAL","","SARC","NEG","MENTION","","2025-09-11T09:02:52.399756Z","MOCK",""
24,597,"1","AEST","","PATR","2025-09-10T14:45:49.309681Z","","","","","","Nie zdążyło się nagrać o wymowie nazwy Prince Polo przez R. Trzaskowskiego. No cóż — prince wymawiane jako prince (a nie prins czy pręs) nie brzmiało naturalnie u światowca. #polszczyzna",5121,"yes",118.033,"WORD","","","","","SARC","NEG","MENTION","","2025-09-10T14:45:49.309722Z","",""
25,598,"1","","","","2025-09-10T14:46:15.410375Z","","","","","","Czy jest różnica między ZROZUM a ZROZUMIEJ? #polszczyzna",5122,"yes",24.067,"WORD","","","","QSUR","","NEU","NO","","2025-09-10T14:46:15.410408Z","",""
26,599,"1","","","","2025-09-10T14:46:30.998951Z","","","","","","🇵🇱: książki : W Stalowej Woli odbyła się VI edycja konkursu „Polszczyzna bez tajemnic”! Wielkie brawa dla zwyciężczyni, Marty Dobrzańskiej : puchar : oraz podziękowania dla prof. Katarzyny Kłosińskiej za fascynujący quiz! : tuba z konfetti : #Polszczyzna #Konkurs",5123,"no",13.488,"","","","","","","","","","2025-09-10T14:46:30.998982Z","",""
27,600,"1","","","","2025-09-10T14:46:56.202694Z","","","","","","Obchodzimy (albo inni obchodzą) 21-lecie przystąpienia do Unii Europejskiej. Napisać się to da, ale jak wymówić? #polszczyzna",5124,"yes",23.337,"WORD","","","","QSUR","","NEU","NO","","2025-09-10T14:46:56.202734Z","",""
29,601,"1","","","","2025-09-10T14:47:06.840436Z","","","","","",": książki : Konkurs ""Polszczyzna bez tajemnic"" już 10 maja w Stalowej Woli! : puchar : Do wygrania 4000 zł oraz nagrody książkowe! Zgłoszenia do 8 maja. Po konkursie wykład prof. Kłosińskiej. #Polszczyzna #JęzykPolski",5125,"no",8.433,"","","","","","","","","","2025-09-10T14:47:06.840467Z","",""
30,602,"1","","","","2025-09-10T14:47:31.777855Z","","","","","","Co właściwie znaczy PO CZASIE? #polszczyzna",5126,"yes",12.339,"WORD","","","","QSUR","","NEU","NO","","2025-09-10T14:47:31.777903Z","",""
31,603,"1","","","","2025-09-10T14:48:47.265487Z","","","","","","Sprawa nie jest aż tak prosta jak test na inteligencję dla osób świetnych w testach na inteligencję.  #polszczyzna, nie logika mnie ciekawi, ściślej rodzaj gramatyczny. Państwa IQ jest...",5127,"yes",69.322,"{""choices"":[""PHEN"",""INVIS""]}","","","","QSUR","SARC","NEU","DIRECT","","2025-09-10T14:48:47.265517Z","",""
32,604,"1","","","","2025-09-10T14:49:58.617628Z","","","","","","Czwartek, wprawdzie Wielki, ale lubię w czwartki myśleć o nazwach własnych. Dziś krakowskie osiedle Kliny, gdzie otwarto nową filię Biblioteki Kraków (@użytkownik). Czytelnictwo i #polszczyzna Kto przeważnie będzie korzystał z placówki? Mieszkańcy...",5128,"yes",69.395,"{""choices"":[""PHEN"",""INVIS""]}","","","","QSUR","","NEU","MENTION","","2025-09-10T14:49:58.617662Z","",""
33,605,"1","","COR","","2025-09-10T14:51:10.292360Z","","","","","","Chyba tylko we Warszawie można się przejechać TELEKOMUNIKACJĄ publiczną. #małostkowe #wytyk #przejęzyczenie #polszczyzna #debata #Końskie2025",5129,"yes",87.634,"WORD","","","","","SARC","NEG","NO","CONS","2025-09-13T17:13:08.406937Z","MOCK",""
34,606,"1","","","","2025-09-10T14:52:19.236918Z","","","","","","#polszczyzna : czerwone koło  : Jak informuje właśnie @użytkownik, z uwagi na warunki energetyczne, warto o tej porze ""wstawić pralkę lub zmywarkę"". Nie poinformowano, na które piętro.#media #Polska",5130,"yes",66.584,"WORD","","","","","SARC","NEG","MENTION","","2025-09-10T14:52:19.236948Z","",""
35,607,"1","","","","2025-09-10T14:52:56.396903Z","","","","","","Jak się odmienia nazwisko Pejo? Czy pan poseł @użytkownik zechciałby mnie wspomóc?Kontekst: u (rodziny) Pe... świeci się światło w oknie.#polszczyzna",5131,"yes",42.495,"{""choices"":[""PHEN"",""WORD""]}","","","","QSUR","","NEU","{""choices"":[""DIRECT"",""MENTION""]}","","2025-09-10T18:52:12.389513Z","",""
36,608,"1","","","","2025-09-10T14:53:18.489489Z","","","","","","Czy komuś z Państwa znane jest słowo KUTLEMENTA (lub jakoś podobnie), co by miało oznaczać wszelakie szpeje i inne drobne przedmioty, co się zbierają, bo a nuż okażą się przydatne? #polszczyzna",5132,"yes",19.351,"WORD","","","","QSUR","","NEU","DIRECT","","2025-09-10T14:53:18.489824Z","",""
37,609,"1","","","","2025-09-10T14:53:48.353286Z","","","","","","Czy ktoś z Gdańska i okolic objaśni centralnemu południowcowi, co to za bułki AMERYKANKI? Może Pan Docent @użytkownik ongiś w placówkach prywatnych lub uspołecznionych kupował albo oglądał? #polszczyzna #leksyka @użytkownik",5133,"yes",23.89,"WORD","","","","QSUR","","NEU","{""choices"":[""DIRECT"",""MENTION""]}","","2025-09-10T14:53:48.353316Z","",""
38,610,"1","AEST","","","2025-09-10T14:54:22.917215Z","","","","","","Czy jest jakiś sensowny przymiotnik od NEKROPOLIA?#polszczyzna",5134,"yes",52.07599999999999,"{""choices"":[""PHEN"",""WORD""]}","","","","QSUR","","NEU","NO","","2025-09-10T18:52:39.299778Z","",""
39,611,"1","","","","2025-09-10T14:55:06.537112Z","","","","CIT","","Dziś Rafał Trzaskowski zaczął: Czym bardziej...#polszczyzna",5135,"yes",41.006,"WORD","","","","","","{""choices"":[""NEU"",""NEG""]}","MENTION","","2025-09-10T14:55:06.537146Z","",""
40,612,"1","","","","2025-09-10T14:55:39.300442Z","","","","CIT","","Red. Dobrosz-Oracz chyba mówiła o utrancaniu śledztw. #polszczyzna",5136,"yes",31.078,"WORD","","","","","","{""choices"":[""NEU"",""NEG""]}","MENTION","","2025-09-10T14:55:39.300474Z","",""
41,613,"1","","","","2025-09-10T14:56:10.133582Z","","","","","","Słyszą Państwo nieraz jakiś zew? #polszczyzna Podróży, przygody, krwi…Czy należy się nim kierować, tym…",5137,"yes",43.926,"{""choices"":[""WORD"",""INVIS""]}","","","","QSUR","","NEU","DIRECT","","2025-09-13T16:56:46.373554Z","",""
42,614,"1","","","","2025-09-10T14:56:36.561732Z","","","","","","Jakie znaczenia ma lub może mieć słowo PORY? Uprzejmie proszę o komentarze. #polszczyzna #gimnastykaleksykalna",5138,"yes",24.93,"WORD","","","","QSUR","","NEU","NO","","2025-09-10T14:56:36.561761Z","",""
44,615,"1","","","","2025-09-10T14:57:32.184199Z","","DCT","","","","Czy Państwa #polszczyzna zawiera przymiotnik SZURPATY? O mowę domową, prywatną mi idzie, nie o cytaty z „Pana Tadeusza”.",5139,"yes",58.245,"{""choices"":[""PHEN"",""WORD""]}","","","","QSUR","","NEU","DIRECT","","2025-09-10T18:52:56.218949Z","",""
45,616,"1","","","","2025-09-10T14:59:16.638046Z","","","","","","O poranku #polszczyzna Kogo Pan Prezydent RP @użytkownik  dołączył do grona obywateli naszego państwa? #polszczyzna My, czyli @użytkownik, wiemy, jak to pisać, ale czy Instytucje i Media wiedzą? A Państwo? Pana Eisenberga.",5140,"yes",102.204,"WORD","","","","QSUR","","NEU","{""choices"":[""DIRECT"",""MENTION""]}","","2025-09-10T14:59:16.638103Z","",""
46,617,"1","","","","2025-09-10T14:59:30.785131Z","","","","","","Mili Państwo, co współcześnie znaczy PIKOWAĆ (chodzi o ruch, nie o kołdry)? #polszczyzna",5141,"yes",11.793,"WORD","","","","QSUR","","NEU","DIRECT","","2025-09-10T14:59:30.785165Z","",""
47,618,"1","","","","2025-09-10T15:00:35.463805Z","","","","","FACT","Proszę, proszę, frazeologia ewoluuje, bo #polszczyzna przyjmuje i przetwarza przemiany strojów i obyczajów. Dotychczas istniał związek frazeologiczny ZRZUCIĆ SUTANNĘ (HABIT) ‘porzucić stan duchowny (zakonny)’. Ponieważ jednak coraz częściej mężczyźni należący do kleru... cdn.",5142,"yes",67.75200000000001,"{""choices"":[""PHEN"",""WORD""]}","","","","","","NEU","NO","","2025-09-10T18:53:13.543719Z","",""
48,619,"1","","","","2025-09-10T15:01:10.042340Z","","","","","","Właśnie słyszałem reklamę społeczną promującą wspieranie organizacji pożytku publicznego. Którą formę Państwo wybierają? #polszczyzna Twoje półtora...",5143,"yes",32.314,"INVIS","","","","QSUR","","NEU","DIRECT","","2025-09-10T15:01:10.042393Z","",""
49,620,"1","","","","2025-09-10T15:01:48.987429Z","","","","","","Mili Państwo, czy ktoś pamięta prześladowania młodszych w szkole i w wojsku? Komu robiono krzywdę? #polszczyzna #celownik",5144,"yes",36.646,"INVIS","","","","QSUR","","NEU","DIRECT","","2025-09-10T15:01:48.987461Z","",""
50,621,"1","","","","2025-09-10T15:02:30.675685Z","","","","","","Czy Państwo palący papierosy i ich otoczenie zna czasownik ZAPETOWAĆ (zgasić papierosa)? Ja chyba nie znałem.  #polszczyznaWszelkie komentarze na temat petów, ciuków i kiepów mile widziane.",5145,"yes",44.483000000000004,"{""choices"":[""PHEN"",""WORD""]}","","","","QSUR","","NEU","{""choices"":[""DIRECT"",""MENTION""]}","","2025-09-10T18:53:31.252351Z","",""
51,622,"1","","","","2025-09-10T15:02:59.538549Z","","","","","","Mili Państwo, jak to jest z tą władzą uczuć. Co zrobiła tęsknota albo zazdrość?  #polszczyzna Owładnęła",5146,"yes",26.573,"INVIS","","","","QSUR","","NEU","DIRECT","","2025-09-10T15:02:59.538642Z","",""
52,623,"1","","","PATR","2025-09-10T15:04:13.760511Z","","","","","","widzialem tekscie fraze ""jestem na ostatnich nogach"" czy to nie jest zywcem wziete z angielskiego? #polszczyzna",5147,"yes",72.415,"WORD","","","QUAL","","","{""choices"":[""NEU"",""NEG""]}","NO","","2025-09-10T15:04:13.760543Z","",""
53,624,"1","","","","2025-09-10T15:04:59.561062Z","","","","","","Bedzie o niuansach wymowy, bo #polszczyzna się zmienia na naszych... uszach. Osoby kwiatolubne i kwiatoznawcze oraz ich osoby współmieszkańcze proszone są o odpowiedź. Nazwę LEWKONIE wymawiają państwo",5148,"yes",46.406,"{""choices"":[""WORD"",""INVIS""]}","","","","QSUR","","NEU","{""choices"":[""DIRECT"",""MENTION""]}","","2025-09-10T17:58:10.746871Z","",""
54,625,"1","AEST","","","2025-09-10T15:06:21.413921Z","","","","","","ludkowie, którzy używają i słowa ""smutny"" i ""smętny"": zdecydujcie się na jedno #polszczyzna",5149,"yes",87.599,"WORD","","","","","","NEG","DIRECT","CONS","2025-09-11T09:05:27.305158Z","",""
56,626,"1","","COR","","2025-09-10T15:06:56.133340Z","","","","","","OKNO CYKLONU problemów prawnych – jeśli ktoś jeszcze tak mówi, jest to błąd frazeologiczny, a jeśli nie, to zwykłe przejęzyczenie. #polszczyzna sędziego Marciniaka z PKW.",5150,"yes",71.173,"{""choices"":[""PHEN"",""WORD""]}","","","","","","NEG","DIRECT","CONS","2025-09-11T09:06:01.987932Z","",""
57,627,"1","","","","2025-09-10T15:07:16.123251Z","","","","","","Przy okazji święta pytanie o nazwę świecy. Jak ją nazywa Państwa #polszczyzna? Gromica chyba na Pomorzu.",5151,"yes",15.443,"WORD","","","","QSUR","","NEU","DIRECT","","2025-09-10T15:07:16.123281Z","",""
59,628,"1","","","","2025-09-10T15:07:38.358992Z","","","","","","To może by kontynuować pytania o nazwy na Li. #Mazowsze #polszczyzna Ziemia liwska. Zamek w Liwie. Pojedziemy do",5152,"yes",25.284999999999997,"{""choices"":[""WORD"",""INVIS""]}","","","","QSUR","","NEU","NO","","2025-09-10T17:58:18.537455Z","",""
60,629,"1","","","","2025-09-10T15:08:28.902799Z","","","","","","Poranny połów. #polszczyzna w mediach:Ponieważ jestem OBSESJONATĄ takiego pojęcia „pilnować tematów…” (Jan Wróbel, Tok FM, 21.01.2025, ok. 7.44)A jak Państwo by rzekli?",5153,"yes",48.562,"WORD","","","","","","NEU","{""choices"":[""DIRECT"",""MENTION""]}","","2025-09-10T15:08:28.902828Z","MOCK",""
61,630,"1","","COR","","2025-09-10T15:09:10.977471Z","","","ESOM","","","Ukara zamiast ukarze, strzyżą zamiast strzygą, ora zam. orze, łga zamiast łże itp. Aż w uszach zgrzyta. To nie są jakieś nadzwyczaj trudne wyrazy. W szkole już nie uczą?#polszczyzna",5154,"yes",51.106,"WORD","","","QUAL","","","NEG","NO","","2025-09-11T09:06:39.075159Z","",""
62,631,"1","","","","2025-09-10T15:09:36.341860Z","","","","CIT","","Budżety rodzinne są STRWOŻONE. #polszczyzna K. Wagner, Tatrzańska Izba Gospodarcza",5155,"yes",23.24,"WORD","","","","","","NEG","MENTION","","2025-09-10T15:09:36.341890Z","MOCK",""
63,632,"1","","","","2025-09-10T15:10:00.077748Z","","","","","","Czy Państwa #polszczyzna obejmuje słowo #szurpaty? #sprawdzam #trzysłowanadzień",5156,"yes",21.954,"WORD","","","","QSUR","","NEU","DIRECT","","2025-09-10T15:10:00.077778Z","",""
64,633,"1","","","","2025-09-10T15:20:41.223728Z","","","","","","Piątkowe lekkie pytanie. #polszczyzna Czy Państwo rozmyślają o meandrach kariery braci...No właśnie. Nazwisko przy braciach (Grimm, Karamazow, Golec) odmieniać czy nie?",5157,"yes",645.9259999999999,"{""choices"":[""PHEN"",""WORD""]}","","","","QSUR","","NEU","DIRECT","","2025-09-10T18:54:41.152519Z","",""
65,634,"1","","","","2025-09-10T15:21:11.033412Z","","","","","","Kto mieszka w Wieliczce? Proszę o udział w ankiecie i komentarze #polszczyzna",5158,"yes",35.818,"INVIS","","","","QSUR","","NEU","NO","","2025-09-10T15:21:19.149623Z","",""
66,635,"1","","","","2025-09-10T15:21:52.865931Z","","","","","","Mili Państwo, #polszczyzna. Jeśli np. skończyli Państwo czytać książkę – przed godziną lub wczoraj – to powiedzą Państwo: …………………. skończyłam/-łem czytać.",5159,"yes",30.19,"WORD","","","","QSUR","","NEU","DIRECT","","2025-09-10T15:21:52.865961Z","",""
67,636,"1","","","","2025-09-10T15:22:39.070941Z","","","","","","Mili Państwo z różnych stron. Gdy pojawia się coś wartego poparcia i wywołuje Państwa entuzjazm, to czym się Państwo pod tym podpisują? #polszczyzna",5160,"yes",44.471,"INVIS","","","","QSUR","","NEU","DIRECT","","2025-09-10T15:22:39.070969Z","",""
68,637,"1","","","","2025-09-10T15:23:00.122899Z","","","","","","Jak u Państwa się zwie taka nieduża niby-pizza? #polszczyzna #kulinaria",5161,"yes",19.179,"INVIS","","","","QSUR","","NEU","DIRECT","","2025-09-10T15:23:00.122928Z","",""
69,638,"1","","","","2025-09-10T15:23:27.351249Z","","","","","","Jak Państwo piszą (a może i mówią, choć to się może krzyżować, więc pytam o pisownię)? #polszczyzna #japońszczyzna #internacjonalizmy",5162,"yes",23.653,"INVIS","","","","QSUR","","NEU","DIRECT","","2025-09-10T15:23:27.351279Z","",""
70,639,"1","","","","2025-09-10T15:23:45.959721Z","","","","","","Czy znają Państwo formę PLASTICZANY (= plastikowy)?  #polszczyzna Kto i gdzie tak mówi?",5163,"yes",16.794,"WORD","","","","QSUR","","NEU","DIRECT","","2025-09-10T15:23:45.959751Z","",""
71,640,"1","","","","2025-09-10T15:25:01.546097Z","DCLN","","ESOM","","",": czerwone koło  :#Polszczyzna co to za moda ""TE ROZPORZĄDZENIE"", ""TE DZIECKO""  : nadąsana twarz :@użytkownik @użytkownik @użytkownik",5164,"yes",74.12,"WORD","","","","","","NEG","NO","","2025-09-10T15:25:01.546149Z","MOCK",""
72,641,"1","","","","2025-09-10T15:25:21.818442Z","","","","CIT","","Reubekizacja. Karol Nawrocki w Głogowie.#leksyka #polszczyzna",5165,"yes",14.869,"WORD","","","","","","NEG","MENTION","","2025-09-10T15:25:21.818473Z","",""
73,642,"1","","","","2025-09-10T15:25:33.327632Z","","","","","","Czy znane jest Państwu słowo ""odkostnić""? #polszczyzna",5166,"yes",9.455,"WORD","","","","QSUR","","NEU","DIRECT","","2025-09-10T15:25:33.327664Z","",""
74,643,"1","","","","2025-09-10T15:25:57.577117Z","","","","","","Państwo Militaryści, Rekonstruktorzy i Archaizatorzy proszeni są o odpowiedź. Która forma bliższa Państwa sercom i językom? #polszczyzna",5167,"yes",22.137,"INVIS","","","","QSUR","","NEU","{""choices"":[""DIRECT"",""MENTION""]}","","2025-09-10T15:25:57.577146Z","",""
76,644,"1","","","","2025-09-10T15:26:39.805146Z","","","","","","Pytanie do Państwa Seniorów. Jakimi przezwiskami obdarzali uczniowie nauczycieli języka rosyjskiego? #polszczyzna #językuczuniów #kreacja #onomastyka",5168,"yes",24.326,"{""choices"":[""PHEN"",""INVIS""]}","","","","QSUR","","NEU","{""choices"":[""DIRECT"",""MENTION""]}","","2025-09-10T18:55:26.734408Z","",""
77,645,"1","","COR","","2025-09-10T15:27:21.558492Z","","","","","","Jakie są Państwa zapatrywania na słowo Mikołajki (mikołajki)? Mała czy duża litera to osobna sprawa, ale czy nie lepiej dostać prezent „na Mikołaja”? #polszczyzna",5169,"yes",39.996,"WORD","","","","QSUR","","NEU","DIRECT","","2025-09-10T15:27:21.558522Z","",""
78,646,"1","","","","2025-09-10T15:27:56.293007Z","","","","","","Piękna jest #polszczyzna prof. Andrzeja Nowaka. I słodka, zniewalająca wręcz jest jego opowieść o słuszności działań komitetów obywatelskich i innych komitetów poparcia spraw ważkich z finezyjnym ominięciem Komitetu Obywatelskiego przy Lechu Wałęsie. Ale ja nie o tym, ponieważ...",5170,"no",32.699,"","","","","","","","","","2025-09-10T15:27:56.293039Z","",""
79,647,"1","","","","2025-09-10T15:28:34.254063Z","","","","","","Piątek, więc można dodać pytanie. #polszczyzna NA DNIACH to",5171,"yes",32.853,"INVIS","","","","QSUR","","NEU","NO","","2025-09-10T15:28:34.254103Z","",""
80,648,"1","AEST","","","2025-09-10T15:29:10.668264Z","","","ESOM","","","Czy tylko mnie razi, wydaje się pretensjonalne, gdy ktoś mówi o swojej żonie ""moja małżonka""? (O cudzej jest OK).#polszczyzna",5172,"yes",34.601,"WORD","","","","","","NEG","NO","","2025-09-10T15:29:10.668293Z","",""
81,649,"1","","","","2025-09-10T15:29:29.038174Z","","","","","","A Państwo jak wolą pisać? #polszczyzna regionalna",5173,"yes",12.449,"INVIS","","","","QSUR","","NEU","DIRECT","","2025-09-10T15:29:29.038210Z","",""
82,650,"1","","","","2025-09-10T15:29:47.361461Z","","","","","","A co Państwo mają na każdym paluszku? #polszczyzna",5174,"yes",15.933,"INVIS","","","","QSUR","","NEU","DIRECT","","2025-09-10T15:29:47.361492Z","",""
83,651,"1","","COR","","2025-09-10T15:31:14.176922Z","DCLN","","ESOM","","","Postanowiłem. Przestaję mowić ""w radio"", ""w studio"". Od teraz już tylko ""w radiu"", ""w studiu"".Przemogłem się po to, by się odmłodzić. : twarz puszczająca oko :#polszczyzna",5175,"yes",100.95500000000001,"WORD","","","","","SARC","NEG","NO","","2025-09-11T09:08:39.620203Z","",""
84,652,"1","","","PATR","2025-09-10T15:31:59.948127Z","","","","","","A Państwo jak się zwracają do Polski z okazji święta? Który wołacz najbliższy sercu i językowi? #polszczyznaŻyj nam długo i szczęśliwie...",5176,"yes",55.278999999999996,"{""choices"":[""PHEN"",""INVIS""]}","","","","QSUR","","NEU","DIRECT","","2025-09-10T18:56:07.864688Z","",""
85,653,"1","","","","2025-09-10T15:32:41.971641Z","","","","","","Dlaczego kakao w #polszczyzna się nie odmienia? Ze względu na złe skojarzenia ewentualnych form. #awanturaokasę",5177,"yes",42.86,"{""choices"":[""PHEN"",""WORD""]}","","","","","","NEU","NO","","2025-09-10T18:56:16.880060Z","","JOKE"
